"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","27681140","傑上生技股份有限公司","屏東縣長治鄉德和村園西二路16號3樓","曹乃真","6000000","1080731"
"2","28114617","璞美生醫股份有限公司","新竹市東區力行一路1號1樓之A2-A12-10","陳寧","100000","1080704"
"3","28114623","宜科創新綠能股份有限公司","宜蘭縣宜蘭市宜科南路15號4樓之6-417室","羅毓萱","1100000","1080725"
"4","29187638","共善生技股份有限公司","屏東縣屏東市前進里屏東加工出口區屏加路1號103室","蘇義峰","8500000","1080702"
"5","29187665","智炬科技股份有限公司","臺中市大里區東湖里中興路一段159之1號3樓","歐俋伶","25000000","1080725"
"6","50956388","德益控股股份有限公司","桃園市楊梅區楊梅里梅高路42號（4樓）","沈錦坤","25000000","1080628"
"7","50956486","皇妃古裝攝影有限公司","桃園市中壢區中央里裕民街26之1號11樓","路易 威鄧","6000000","1080628"
"8","50956492","新富甲山河開發建設有限公司","桃園市桃園區豐林里保羅街133號(1樓)","張光榮","15000000","1080628"
"9","50956508","統進元有限公司","桃園市八德區瑞發里介壽路二段963巷1弄12號(1樓)","林莛倫","500000","1080701"
"10","50956514","鈺臨科技材料企業有限公司","桃園市桃園區永安里力行路7號7樓之2","王玉蘭","1000000","1080701"
"11","50956520","玩穩國際有限公司","桃園市中壢區中央里裕民街26之1號11樓","彭鼎富","100000","1080701"
"12","50956535","京澄開發投資有限公司","桃園市桃園區新埔五街106號","蘇松棱","28000000","1080701"
"13","50956541","智豪建設有限公司","桃園市中壢區環北路199號4樓","蕭明清","1000000","1080701"
"14","50956556","于成貿易有限公司","桃園市桃園區慈文里28鄰慈德街106巷7號(2樓)","馮志清","100000","1080701"
"15","50956562","新代賢貿易有限公司","桃園市桃園區南門里22鄰三民路三段288號9樓","高野倉 佳文","500000","1080701"
"16","50956578","久叶室內裝修設計有限公司","桃園市大園區南港里大觀路1083號","孫郁喬","500000","1080701"
"17","50956583","立有科技有限公司","桃園市中壢區仁德二街53號","鄭芳隆","500000","1080701"
"18","50956599","勝璟塑膠有限公司","桃園市桃園區忠孝里大業路一段8號1樓之3","唐旭賢","5000","1080701"
"19","50956606","禾芯科技纖維有限公司","桃園市桃園區信光里3鄰民生路876號(1樓)","吳欣憓","1000000","1080701"
"20","50956612","安碩風險科技有限公司","桃園市桃園區同安里新埔六街77號9樓之5","許傑貴","1000000","1080701"
"21","50956628","新雲科技股份有限公司","桃園市龜山區文化二路202號(4樓)","何繼武","100000","1080701"
"22","50956633","好秊投資股份有限公司","桃園市龜山區文化二路38之6號6樓之8","陳安秊","84000000","1080702"
"23","50956649","桂瑜有限公司","桃園市大園區菓林路446號","李桂玲","2000000","1080701"
"24","50956654","富威爾科技股份有限公司","桃園市蘆竹區內厝里內溪路9號","陳瑞彬","15000000","1080701"
"25","50956660","勝嘉實業有限公司","桃園市平鎮區義民里復旦路二段199巷9號2樓","徐玉嬌","500000","1080701"
"26","50956676","維能管理顧問有限公司","桃園市中壢區永福路1029號(1樓)","詹力錦","1000000","1080701"
"27","50956681","裕杰工程有限公司","桃園市桃園區文中里文中路165號（1樓）","黃華忠","1500000","1080701"
"28","50956697","任壕股份有限公司","桃園市中壢區興平里中豐北路38號（1樓）","莊榮程","2000000","1080702"
"29","50956704","力行停車場有限公司","桃園市桃園區長德里力行路106號地下室1樓之1；之2；之3；之4；之5；之6、地下室2樓 之1；之2","林保華","500000","1080701"
"30","50956710","佰欣生物科技有限公司","桃園市桃園區莊敬里11鄰新埔八街27號5樓","石瑞惠","1000000","1080702"
